Player,,Loan: start/end,Age,Nationality,Position,Market value,From Team,From League,From Region,From Country,From Level,To Team,To League,To Region,To Country,To Level,End of Loan Date,Fee,Transfer ID
Ayman Azhil,Out,No,22,Morocco,Defensive Midfield,"400,000",B. Leverkusen,"Bundesliga, German",Top,Germany,First Tier,B. Dortmund II,"3. Liga, German",Europe,Germany,Third Tier,,0,332
Aymeric Laporte,Out,No,29,Spain,Centre-Back,"25,000,000",Man City,"Premier League, England",Top,England,First Tier,Al-Nassr,Saudi Pro League,Asia,Saudi Arabia,First Tier,,27500000,333
Ayoze Pérez,In,No,29,Spain,Left Winger,"6,000,000",Leicester,"Championship, England",Europe,France,Second Tier,Real Betis,"LaLiga, Spain",Top,Spain,First Tier,,0,335
Ayoze Pérez,Out,End,29,Spain,Left Winger,"6,000,000",Real Betis,"LaLiga, Spain",Top,Spain,First Tier,Leicester,"Championship, England",Europe,England,Second Tier,"Jun 30, 2023",0,334
Baïla Diallo,Out,Start,22,Senegal,Left-Back,"200,000",Clermont Foot,"Ligue 1, France",Top,France,First Tier,A. Lustenau,"Bundesliga, Austria",Europe,Austria,First Tier,,0,336
Bailey Peacock-Farrell,Out,Start,26,Northern Ireland,Goalkeeper,"1,000,000",Burnley,"Premier League, England",Top,England,First Tier,Aarhus GF,"Superligaen, Denmark",Europe,Denmark,First Tier,,0,337
Bambasé Conté,In,No,20,Germany,Left Winger,"200,000",Hoffenheim II,"Regionalliga Südwest, German",Europe,Germany,Fourth Tier,TSG Hoffenheim,"Bundesliga, German",Top,Germany,First Tier,,0,338
Bamo Meïté,Inside,Start,21,Cote d'Ivoire,Centre-Back,"2,500,000",FC Lorient,"Ligue 1, France",Top,France,First Tier,Marseille,"Ligue 1, France",Top,France,First Tier,,0,339
Bart Verbruggen,In,No,20,Netherlands,Goalkeeper,"15,000,000",RSC Anderlecht,"Jupiler Pro League, Belgium",Europe,Belgium,First Tier,Brighton,"Premier League, England",Top,England,First Tier,,20000000,340
Bartol Franjic,Inside,Start,23,Croatia,Defensive Midfield,"3,000,000",VfL Wolfsburg,"Bundesliga, German",Top,Germany,First Tier,Darmstadt 98,"Bundesliga, German",Top,Germany,First Tier,,0,341
Bartosz Bereszynski,In,Start,31,Poland,Right-Back,"1,600,000",Sampdoria,"Serie B, Italy",Europe,Italy,Second Tier,FC Empoli,"Serie A, Italy",Top,Italy,First Tier,,0,343
Bartosz Bereszynski,Out,End,30,Poland,Right-Back,"1,600,000",SSC Napoli,"Serie A, Italy",Top,Italy,First Tier,Sampdoria,"Serie B, Italy",Europe,Italy,Second Tier,"Jun 30, 2023",0,342
Bartosz Bialek,In,End,21,Poland,Centre-Forward,"3,000,000",Vitesse,"Eredivisie, Netherlands",Europe,Netherlands,First Tier,VfL Wolfsburg,"Bundesliga, German",Top,Germany,First Tier,"Jun 30, 2023",0,344
Bartosz Bialek,Out,Start,21,Poland,Centre-Forward,"3,000,000",VfL Wolfsburg,"Bundesliga, German",Top,Germany,First Tier,KAS Eupen,"Jupiler Pro League, Belgium",Europe,Belgium,First Tier,,0,345
Bartug Elmaz,Out,No,20,Turkey,Defensive Midfield,"800,000",Marseille,"Ligue 1, France",Top,France,First Tier,Fenerbahce,"Süper Lig, Turkey",Asia,Turkey,First Tier,,1400000,346
Bastien Meupiyou,In,No,17,France,Centre-Back,"250,000",FC Nantes B,Championnat National 3 - Groupe D,Europe,France,Fifth Tier,FC Nantes,"Ligue 1, France",Top,France,First Tier,,0,347
Bebé,In,End,32,Cape Verde,Left Winger,"800,000",Real Zaragoza,"LaLiga2, Spain",Europe,Spain,Second Tier,Rayo Vallecano,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,348
Becir Omeragic,In,No,21,Switzerland,Centre-Back,"3,000,000",FC Zürich,"Super League, Swiss",Europe,Switzerland,First Tier,Montpellier,"Ligue 1, France",Top,France,First Tier,,0,349
Belmin Dizdarevic,In,No,21,Bosnia-Herzegovina,Goalkeeper,"200,000",FK Sarajevo,"Premijer Liga, Bosnia-H",Europe,Bosnia-H,First Tier,Montpellier,"Ligue 1, France",Top,France,First Tier,,150000,350
